Date;DaysGB;Price
2009-10-05;275;0,0008
2009-10-06;276;0,0009
2009-10-07;277;0,0011
2009-10-08;278;0,0011
2009-10-09;279;0,0012
2009-10-10;280;0,0011
2009-10-11;281;0,0012
2009-10-12;282;0,0011
2009-10-13;283;0,0011
2009-10-14;284;0,0011
2009-10-15;285;0,0012
2009-10-16;286;0,0012
2009-10-17;287;0,0012
2009-10-18;288;0,0012
2009-10-19;289;0,0012
2009-10-20;290;0,0012
2009-10-21;291;0,0012
2009-10-22;292;0,0012
2009-10-23;293;0,0013
2009-10-24;294;0,0013
2009-10-25;295;0,0013
2009-10-26;296;0,0013
2009-10-27;297;0,0013
2009-10-28;298;0,0013
2009-10-29;299;0,0013
2009-10-30;300;0,0013
2009-10-31;301;0,0012
2009-11-01;302;0,0012
2009-11-02;303;0,0013
2009-11-03;304;0,0013
2009-11-04;305;0,0013
2009-11-05;306;0,0013
2009-11-06;307;0,0013
2009-11-07;308;0,0013
2009-11-08;309;0,0013
2009-11-09;310;0,0013
2009-11-10;311;0,0012
2009-11-11;312;0,0013
2009-11-12;313;0,0013
2009-11-13;314;0,0014
2009-11-14;315;0,0013
2009-11-15;316;0,0012
2009-11-16;317;0,0012
2009-11-17;318;0,0012
2009-11-18;319;0,0011
2009-11-19;320;0,0011
2009-11-20;321;0,0011
2009-11-21;322;0,0011
2009-11-22;323;0,0011
2009-11-23;324;0,0010
2009-11-24;325;0,0009
2009-11-25;326;0,0009
2009-11-26;327;0,0009
2009-11-27;328;0,0009
2009-11-28;329;0,0008
2009-11-29;330;0,0008
2009-11-30;331;0,0008
2009-12-01;332;0,0008
2009-12-02;333;0,0008
2009-12-03;334;0,0008
2009-12-04;335;0,0007
2009-12-05;336;0,0007
2009-12-06;337;0,0007
2009-12-07;338;0,0007
2009-12-08;339;0,0007
2009-12-09;340;0,0007
2009-12-10;341;0,0007
2009-12-11;342;0,0007
2009-12-12;343;0,0006
2009-12-13;344;0,0006
2009-12-14;345;0,0006
2009-12-15;346;0,0006
2009-12-16;347;0,0006
2009-12-17;348;0,0006
2009-12-18;349;0,0006
2009-12-19;350;0,0006
2009-12-20;351;0,0006
2009-12-21;352;0,0006
2009-12-22;353;0,0006
2009-12-23;354;0,0006
2009-12-24;355;0,0006
2009-12-25;356;0,0006
2009-12-26;357;0,0006
2009-12-27;358;0,0006
2009-12-28;359;0,0006
2009-12-29;360;0,0006
2009-12-30;361;0,0006
2009-12-31;362;0,0007
2010-01-01;363;0,0007
2010-01-02;364;0,0007
2010-01-03;365;0,0007
2010-01-04;366;0,0007
2010-01-05;367;0,0007
2010-01-06;368;0,0007
2010-01-07;369;0,0007
2010-01-08;370;0,0007
2010-01-09;371;0,0007
