DaysGB;Price;HashR_PetaH;Gold-Price
589;0,06529;;1.228,05
596;0,06600;;1.238,20
603;0,06400;;1.247,10
610;0,06160;;1.246,45
617;0,06150;;1.274,90
624;0,06270;;1.296,95
631;0,06200;;1.318,80
638;0,06111;;1.346,80
645;0,09650;;1.369,15
652;0,10200;;1.328,20
659;0,11501;;1.359,55
666;0,19250;;1.393,90
673;0,34000;;1.368,95
680;0,27904;;1.353,50
687;0,27675;;1.364,42
694;0,27000;;1.415,05
701;0,19000;;1.386,05
708;0,22000;;1.375,41
715;0,24010;;1.384,75
722;0,26500;;1.421,45
729;0,29997;;1.369,60
736;0,32300;;1.361,85
743;0,38679;;1.342,51
750;0,44240;;1.335,35
757;0,47990;;1.349,25
764;0,89750;;1.356,10
771;1,05000;;1.387,30
778;0,85000;;1.409,25
785;0,89000;;1.429,30
792;0,89990;;1.417,40
799;0,89249;;1.419,55
806;0,74108;;1.429,65
813;0,82200;;1.428,38
820;0,77900;;1.475,10
827;0,73690;;1.486,50
834;1,11230;;1.508,13
841;1,63110;;1.565,60
848;3,03311;;1.495,25
855;3,86590;;1.494,55
862;6,98701;;1.513,55
869;6,69010;;1.536,65
876;8,42990;;1.542,50
883;16,70000;;1.531,90
890;18,54640;;1.539,50
897;17,51000;;1.502,15
911;15,44049;;1.486,50
918;14,90000;;1.544,25
925;13,16000;;1.594,10
932;13,98001;;1.599,25
939;13,35000;;1.626,64
946;7,90000;;1.665,00
953;10,79570;;1.746,60
960;11,31125;;1.852,45
967;9,07011;;1.828,55
974;8,17798;;1.884,20
981;5,86435;;1.857,81
988;5,20000;;1.811,95
995;5,33000;;1.656,59
1002;5,02701;;1.623,75
1009;4,10288;;1.639,45
1016;3,55701;;1.679,95
1023;3,17000;;1.641,02
1030;3,27000;;1.742,95
1037;2,95959;;1.754,15
1044;2,99686;;1.788,99
1051;2,20000;;1.723,05
1058;2,47991;;1.680,13
1065;2,82809;;1.745,25
1072;3,25110;;1.711,10
1079;3,19300;;1.597,95
1086;4,22500;;1.606,60
1093;5,26766;;1.564,30
1100;7,11358;;1.616,85
1107;7,00177;;1.639,35
1114;6,30970;;1.666,90
1121;5,38090;;1.738,89
1128;5,68881;;1.725,30
1135;5,51468;;1.719,85
1142;4,38669;;1.722,45
1149;4,92200;;1.773,49
1156;4,82001;;1.712,30
1163;4,91000;;1.713,09
1170;5,27943;;1.660,65
1177;4,55001;;1.662,26
1184;4,82700;;1.668,90
1191;4,79252;;1.639,49
1198;4,96892;;1.659,00
1205;5,20352;;1.642,70
1212;4,90441;;1.662,05
1219;5,04991;;1.642,83
1226;4,92996;;1.580,05
1233;5,09002;;1.593,09
1240;5,13896;;1.573,45
1247;5,20510;;1.626,25
1254;5,46829;;1.594,45
1261;6,16382;;1.626,76
1268;6,35002;;1.572,15
1275;6,62898;;1.598,60
1282;6,79898;;1.582,90
1289;7,62101;;1.589,05
1296;8,40960;;1.583,63
1303;8,71027;;1.623,28
1310;10,86998;;1.604,30
1317;11,62399;;1.620,05
1324;8,00000;;1.615,80
1331;10,61000;;1.670,35
1338;10,20410;;1.691,15
1345;11,02000;;1.736,50
1352;11,87000;;1.772,48
1359;12,19331;;1.773,05
1366;12,40000;;1.771,22
1373;11,80001;;1.780,98
1380;11,73890;;1.754,25
